,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
1,Andaman & Nicobar Islands,Cassava,1990,31400,1996,12004.33,19.64
2,Andaman & Nicobar Islands,Maize,1990,20052,1996,12004.33,19.64
3,Andaman & Nicobar Islands,Plantains and others,1990,394286,1996,12004.33,19.64
4,Andaman & Nicobar Islands,Potatoes,1990,210685,1996,12004.33,19.64
5,Andaman & Nicobar Islands,"Rice, paddy",1990,31111,1996,12004.33,19.64
6,Andaman & Nicobar Islands,Sorghum,1990,16237,1996,12004.33,19.64
7,Andaman & Nicobar Islands,Soybeans,1990,26288,1996,12004.33,19.64
8,Andaman & Nicobar Islands,Wheat,1990,19983,1996,12004.33,19.64
9,Andaman & Nicobar Islands,Cassava,1991,29167,1996,12004.33,19.91
10,Andaman & Nicobar Islands,Maize,1991,18442,1996,12004.33,19.91
11,Andaman & Nicobar Islands,Plantains and others,1991,411910,1996,12004.33,19.91
12,Andaman & Nicobar Islands,Potatoes,1991,207137,1996,12004.33,19.91
13,Andaman & Nicobar Islands,"Rice, paddy",1991,28745,1996,12004.33,19.91
14,Andaman & Nicobar Islands,Sorghum,1991,11759,1996,12004.33,19.91
15,Andaman & Nicobar Islands,Soybeans,1991,26283,1996,12004.33,19.91
16,Andaman & Nicobar Islands,Wheat,1991,20124,1996,12004.33,19.91
17,Andaman & Nicobar Islands,Cassava,1992,31957,1996,12004.33,19.89
18,Andaman & Nicobar Islands,Maize,1992,18831,1996,12004.33,19.89
19,Andaman & Nicobar Islands,Plantains and others,1992,418505,1996,12004.33,19.89
20,Andaman & Nicobar Islands,Potatoes,1992,204371,1996,12004.33,19.89
21,Andaman & Nicobar Islands,"Rice, paddy",1992,26021,1996,12004.33,19.89
22,Andaman & Nicobar Islands,Sorghum,1992,12008,1996,12004.33,19.89
23,Andaman & Nicobar Islands,Soybeans,1992,25441,1996,12004.33,19.89
24,Andaman & Nicobar Islands,Wheat,1992,20000,1996,12004.33,19.89
25,Andaman & Nicobar Islands,Cassava,1993,31806,1996,12004.33,19.85
26,Andaman & Nicobar Islands,Maize,1993,18506,1996,12004.33,19.85
27,Andaman & Nicobar Islands,Plantains and others,1993,418505,1996,12004.33,19.85
28,Andaman & Nicobar Islands,Potatoes,1993,207000,1996,12004.33,19.85
29,Andaman & Nicobar Islands,"Rice, paddy",1993,27338,1996,12004.33,19.85
30,Andaman & Nicobar Islands,Sorghum,1993,11691,1996,12004.33,19.85
31,Andaman & Nicobar Islands,Soybeans,1993,28902,1996,12004.33,19.85
32,Andaman & Nicobar Islands,Sweet potatoes,1993,62500,1996,12004.33,19.85
33,Andaman & Nicobar Islands,Wheat,1993,19924,1996,12004.33,19.85
34,Andaman & Nicobar Islands,Cassava,1994,32084,1996,12004.33,20.08
35,Andaman & Nicobar Islands,Maize,1994,19569,1996,12004.33,20.08
36,Andaman & Nicobar Islands,Plantains and others,1994,418505,1996,12004.33,20.08
37,Andaman & Nicobar Islands,Potatoes,1994,208248,1996,12004.33,20.08
38,Andaman & Nicobar Islands,"Rice, paddy",1994,30022,1996,12004.33,20.08
39,Andaman & Nicobar Islands,Sorghum,1994,8355,1996,12004.33,20.08
40,Andaman & Nicobar Islands,Soybeans,1994,28389,1996,12004.33,20.08
41,Andaman & Nicobar Islands,Sweet potatoes,1994,66667,1996,12004.33,20.08
42,Andaman & Nicobar Islands,Wheat,1994,21025,1996,12004.33,20.08
43,Andaman & Nicobar Islands,Cassava,1995,32084,1996,12004.33,19.98
44,Andaman & Nicobar Islands,Maize,1995,19436,1996,12004.33,19.98
45,Andaman & Nicobar Islands,Plantains and others,1995,414079,1996,12004.33,19.98
46,Andaman & Nicobar Islands,Potatoes,1995,207000,1996,12004.33,19.98
47,Andaman & Nicobar Islands,"Rice, paddy",1995,27877,1996,12004.33,19.98
48,Andaman & Nicobar Islands,Sorghum,1995,11610,1996,12004.33,19.98
49,Andaman & Nicobar Islands,Soybeans,1995,27692,1996,12004.33,19.98
50,Andaman & Nicobar Islands,Sweet potatoes,1995,62500,1996,12004.33,19.98
51,Andaman & Nicobar Islands,Wheat,1995,20987,1996,12004.33,19.98
52,Andaman & Nicobar Islands,Cassava,1996,31918,1996,12004.33,19.48
53,Andaman & Nicobar Islands,Maize,1996,18201,1996,12004.33,19.48
54,Andaman & Nicobar Islands,Plantains and others,1996,394286,1996,12004.33,19.48
55,Andaman & Nicobar Islands,Potatoes,1996,209629,1996,12004.33,19.48
56,Andaman & Nicobar Islands,"Rice, paddy",1996,18086,1996,12004.33,19.48
57,Andaman & Nicobar Islands,Sorghum,1996,11846,1996,12004.33,19.48
58,Andaman & Nicobar Islands,Soybeans,1996,27617,1996,12004.33,19.48
59,Andaman & Nicobar Islands,Sweet potatoes,1996,62500,1996,12004.33,19.48
60,Andaman & Nicobar Islands,Wheat,1996,21020,1996,12004.33,19.48
61,Andaman & Nicobar Islands,Cassava,1997,31918,1996,11419.53,20.16
62,Andaman & Nicobar Islands,Maize,1997,14942,1996,11419.53,20.16
63,Andaman & Nicobar Islands,Plantains and others,1997,381003,1996,11419.53,20.16
64,Andaman & Nicobar Islands,Potatoes,1997,212213,1996,11419.53,20.16
65,Andaman & Nicobar Islands,"Rice, paddy",1997,18548,1996,11419.53,20.16
66,Andaman & Nicobar Islands,Sorghum,1997,11825,1996,11419.53,20.16
67,Andaman & Nicobar Islands,Soybeans,1997,27600,1996,11419.53,20.16
68,Andaman & Nicobar Islands,Sweet potatoes,1997,66667,1996,11419.53,20.16
69,Andaman & Nicobar Islands,Wheat,1997,20408,1996,11419.53,20.16
70,Andaman & Nicobar Islands,Cassava,1998,28235,1996,10834.74,20.36
71,Andaman & Nicobar Islands,Maize,1998,16994,1996,10834.74,20.36
72,Andaman & Nicobar Islands,Plantains and others,1998,381146,1996,10834.74,20.36
73,Andaman & Nicobar Islands,Potatoes,1998,213250,1996,10834.74,20.36
74,Andaman & Nicobar Islands,"Rice, paddy",1998,22581,1996,10834.74,20.36
75,Andaman & Nicobar Islands,Sorghum,1998,11699,1996,10834.74,20.36
76,Andaman & Nicobar Islands,Soybeans,1998,31768,1996,10834.74,20.36
77,Andaman & Nicobar Islands,Sweet potatoes,1998,60000,1996,10834.74,20.36
78,Andaman & Nicobar Islands,Wheat,1998,19721,1996,10834.74,20.36
79,Andaman & Nicobar Islands,Cassava,1999,22731,1996,10249.94,19.44
80,Andaman & Nicobar Islands,Maize,1999,17378,1996,10249.94,19.44
81,Andaman & Nicobar Islands,Plantains and others,1999,386101,1996,10249.94,19.44
82,Andaman & Nicobar Islands,Potatoes,1999,215496,1996,10249.94,19.44
83,Andaman & Nicobar Islands,"Rice, paddy",1999,32924,1996,10249.94,19.44
